ID,CCAA
935,Andalucía
936,Aragón
951,Asturias
947,Baleares
948,Canarias
937,Cantabria
939,Castilla La Mancha
938,Castilla y León
940,Cataluña
941,Ceuta y Melilla
944,C. Valenciana
945,Extremadura
946,Galicia
942,Madrid
952,Murcia
943,Navarra
950,País Vasco
949,La Rioja
