ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados,Fecha
941,Ceuta y Melilla,0,0,0,0,NA,NA,NA,10/03/20
944,C. Valenciana,50,1,1,1,NA,NA,NA,10/03/20
945,Extremadura,8,0.75,0,0,NA,NA,NA,10/03/20
946,Galicia,22,0.81,2,0,NA,NA,NA,10/03/20
942,Madrid,782,11.74,77,21,NA,NA,NA,10/03/20
952,Murcia,9,0.6,0,0,NA,NA,NA,10/03/20
943,Navarra,12,1.83,2,0,NA,NA,NA,10/03/20
950,País Vasco,195,8.83,5,6,NA,NA,NA,10/03/20
949,La Rioja,144,45.45,1,1,NA,NA,NA,10/03/20
935,Andalucía,90,1.07,3,0,NA,NA,NA,11/03/20
936,Aragón,45,3.41,3,4,NA,NA,NA,11/03/20
951,Asturias,32,3.13,2,0,NA,NA,NA,11/03/20
947,Baleares,16,1.39,1,0,NA,NA,NA,11/03/20
948,Canarias,37,1.49,1,0,NA,NA,NA,11/03/20
937,Cantabria,12,2.07,0,0,NA,NA,NA,11/03/20
939,Castilla La Mancha,71,3.49,5,0,NA,NA,NA,11/03/20
938,Castilla y León,71,2.96,2,0,NA,NA,NA,11/03/20
940,Cataluña,156,2.02,0,3,NA,NA,NA,11/03/20
941,Ceuta y Melilla,0,0,0,0,NA,NA,NA,11/03/20
944,C. Valenciana,65,1.28,1,1,NA,NA,NA,11/03/20
945,Extremadura,9,0.84,1,0,NA,NA,NA,11/03/20
946,Galicia,39,1.44,2,0,NA,NA,NA,11/03/20
942,Madrid,1024,15.34,102,31,NA,NA,NA,11/03/20
952,Murcia,11,0.74,0,0,NA,NA,NA,11/03/20
943,Navarra,46,7.03,3,0,NA,NA,NA,11/03/20
950,País Vasco,225,10.19,15,6,NA,NA,NA,11/03/20
949,La Rioja,179,56.5,1,2,NA,NA,NA,11/03/20
935,Andalucía,115,1.35,4,0,NA,NA,NA,12/03/20
936,Aragón,64,4.85,3,6,NA,NA,NA,12/03/20
951,Asturias,47,4.6,2,1,NA,NA,NA,12/03/20
947,Baleares,22,1.83,2,1,NA,NA,NA,12/03/20
948,Canarias,51,2.09,3,0,NA,NA,NA,12/03/20
937,Cantabria,16,2.75,0,0,NA,NA,NA,12/03/20
939,Castilla La Mancha,115,5.66,9,1,NA,NA,NA,12/03/20
938,Castilla y León,92,3.83,4,0,NA,NA,NA,12/03/20
940,Cataluña,260,3.36,0,4,NA,NA,NA,12/03/20
941,Ceuta y Melilla,0,0,0,0,NA,NA,NA,12/03/20
944,C. Valenciana,76,1.48,2,1,NA,NA,NA,12/03/20
945,Extremadura,19,1.78,1,1,NA,NA,NA,12/03/20
946,Galicia,35,1.3,2,0,NA,NA,NA,12/03/20
942,Madrid,1388,20.77,135,56,NA,NA,NA,12/03/20
952,Murcia,26,1.74,1,0,NA,NA,NA,12/03/20
943,Navarra,73,11.16,3,0,NA,NA,NA,12/03/20
950,País Vasco,346,15.67,18,11,NA,NA,NA,12/03/20
949,La Rioja,205,64.71,1,2,NA,NA,NA,12/03/20
935,Andalucía,219,2.53,8,0,NA,NA,NA,13/03/20
936,Aragón,80,6.06,3,7,NA,NA,NA,13/03/20
951,Asturias,67,6.55,2,1,NA,NA,NA,13/03/20
947,Baleares,30,2.52,2,1,NA,NA,NA,13/03/20
948,Canarias,70,2.97,2,0,NA,NA,NA,13/03/20
937,Cantabria,29,4.99,0,0,NA,NA,NA,13/03/20
939,Castilla La Mancha,194,9.54,10,5,NA,NA,NA,13/03/20
938,Castilla y León,169,6.96,8,1,NA,NA,NA,13/03/20
940,Cataluña,316,4.08,25,4,NA,NA,NA,13/03/20
941,Ceuta y Melilla,2,2.31,0,0,NA,NA,NA,13/03/20
944,C. Valenciana,94,1.72,2,1,NA,NA,NA,13/03/20
945,Extremadura,39,3.65,1,1,NA,NA,NA,13/03/20
946,Galicia,85,3.15,2,0,NA,NA,NA,13/03/20
942,Madrid,1990,29.79,180,81,NA,NA,NA,13/03/20
952,Murcia,35,2.34,1,0,NA,NA,NA,13/03/20
943,Navarra,130,19.87,4,0,NA,NA,NA,13/03/20
950,País Vasco,417,18.89,20,14,NA,NA,NA,13/03/20
949,La Rioja,243,76.71,2,2,NA,NA,NA,13/03/20
935,Andalucía,554,6.44,11,7,NA,NA,NA,16/03/20
936,Aragón,174,13.19,7,11,NA,NA,NA,16/03/20
